Canais com DNS OK: 244
Streams que responderam: 13
Mortos (DNS ok mas stream falhou): 231

=== VIVOS ===
[387ms][hls] TV Aberta | TV PARANÁ
[862ms][hls] CANAL ABERTO | TVE RS
[925ms][hls] TV Aberta | TV BRASIL HD
[1028ms][media/other] PORTUGAL | EURONEWS PT
[1056ms][hls] OUTROS | RETRO MUSIC HD
[1312ms][hls] Religiosos | TV TERCEIRO ANJO
[1324ms][media/other] ESPANHOL | EURONEWS ES
[1506ms][media/other] Noticias | EURONEWS GERMANY
[1537ms][media/other] Noticias | EURONEWS PORTUGAL
[1634ms][media/other] OUTROS | DJING HD
[1726ms][media/other] Noticias | Canal
[1990ms][media/other] Musicas | DJ HITS
[2728ms][media/other] Radios | RFI
